Date,twd,ip
2014-01-31,102.662,102.4462
2014-02-28,102.9122,103.1104
2014-03-31,102.8284,104.5884
2014-04-30,102.4407,103.3023
2014-05-31,102.1166,104.0182
2014-06-30,102.2669,106.9714
2014-07-31,102.0245,105.1845
2014-08-31,102.9393,107.6958
2014-09-30,104.4888,106.8702
2014-10-31,105.834,105.8188
2014-11-30,107.625,106.0474
2014-12-31,110.2233,105.8634
2015-01-31,112.606,105.3393
2015-02-28,114.0559,105.0657
2015-03-31,116.1399,105.0774
2015-04-30,114.9663,102.8356
2015-05-31,114.0835,103.0415
2015-06-30,114.9626,105.556
2015-07-31,116.9497,104.29
2015-08-31,119.1336,106.6007
2015-09-30,120.0397,104.4052
2015-10-31,118.9931,103.4094
2015-11-30,120.7999,102.1263
2015-12-31,122.0258,101.4152
2016-01-31,124.6858,102.5003
2016-02-29,123.6571,101.8312
2016-03-31,121.1441,100.9522
2016-04-30,119.1919,100.451
2016-05-31,120.4566,100.4296
2016-06-30,120.8963,103.7647
2016-07-31,121.7256,102.0635
2016-08-31,120.5967,104.3963
2016-09-30,121.5386,102.9128
2016-10-31,122.6694,102.2558
2016-11-30,125.5811,101.213
2016-12-31,127.5567,102.2539
2017-01-31,127.3877,102.0704
2017-02-28,125.5928,101.6981
2017-03-31,125.0647,102.85
2017-04-30,124.146,101.3202
2017-05-31,123.6594,102.6318
2017-06-30,122.0436,105.5857
2017-07-31,120.3736,103.7392
2017-08-31,119.0583,105.3367
2017-09-30,117.9287,104.0601
2017-10-31,120.0495,104.935
2017-11-30,120.2745,104.7986
2017-12-31,119.9565,105.3492
2018-01-31,117.2182,105.245
2018-02-28,117.575,105.4809
2018-03-31,118.115,106.6792
2018-04-30,118.1733,105.8532
